0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,path
0.0,1.9078603,0.0,0.0,0.18108048,0.65039337,0.0,2.5798924,0.0,0.0,3.1296983,0.0,0.0,0.0,0.0,0.0,0.36285084,0.0,3.0249593,0.0,3.0619562,0.0,0.0,0.14803419,0.0,0.0,2.0255404,0.046546526,0.45230237,0.8523431,0.19319586,0.0,0.4534606,0.0,3.705986,3.345682,1.0088226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5347291,0.0,2.0244093,0.0,0.0,1.0967213,1.2668937,1.3939017,0.0,0.0,0.9781382,1.3710712,1.3313555,0.0,0.0,0.0,1.6744555,0.0,0.0,0.8335113,0.3346482,0.0,0.0,0.0,0.0,0.0,0.0,2.247888,1.292409,1.3808086,0.26118654,2.4946814,0.0,1.0802188,0.82042474,0.0,0.5544527,0.0,0.0,3.561888,0.0,1.3967222,0.0,0.0,1.7978597,0.0,1.4432033,1.3734097,0.062334962,0.0,2.0576963,0.0,0.0,0.0,0.0,2.0286906,0.0,0.0,1.6868622,0.0,0.69883704,1.5719775,0.0,0.6216348,0.0,2.2806444,0.0,1.9541277,0.0,0.0,0.0,0.0,0.0028503223,0.7041588,0.6995016,1.4631631,0.7229905,2.4789572,0.0,0.0,0.0,1.2717068,0.06136816,meta/aditya_jawa_images1.jpg
0.0,4.598214,0.19111538,0.0,0.0,0.0,0.0,1.418825,0.0,0.0,0.4891184,0.91580325,0.0,0.534408,0.3108417,0.0,1.3128395,0.0,0.44449723,2.2859945,0.0,1.1480958,0.0,0.22996132,0.0,0.0,0.9495572,0.0,1.1059004,2.5482564,0.93605876,0.0,0.5258113,0.0,1.6189375,3.661486,2.281526,0.0,0.0,0.0,0.0,0.0,0.0853476,1.231046,2.923306,0.9845979,0.0,0.0,1.0233321,0.0,1.2991374,0.0,0.9381382,0.0,0.33594123,0.0,0.89785194,0.0,0.0,0.0,0.0,0.54654104,0.0,0.0,0.0,1.6547952,0.5803595,0.70473266,1.0566142,0.0,0.17123878,0.0,0.0,0.0,0.87758493,0.0,0.17353822,0.0,2.013924,3.2098687,0.38338637,0.93320304,0.0,0.039350104,1.502937,0.0,0.0,0.0,0.0,1.9209517,0.0,0.0,0.091087095,1.2263652,0.0,0.95323074,0.0,0.0,0.0,0.0,3.084961,0.0,0.52014697,0.88053447,2.1368096,2.0328143,1.1817113,0.0,1.33974,0.0,5.404602,0.0,0.76471686,0.09654881,0.0,0.0,0.0,0.0,0.0,0.6598944,1.1949183,0.0,0.0,0.0,0.0,0.0,0.0,0.5242173,meta/aditya_jawa_images2.jpg
0.0,1.3805453,1.9793309,0.0,1.4670539,0.0,0.0,0.84255475,0.0,1.5346622,1.4727746,2.2942228,0.0,0.0,0.0,1.1005923,0.0,1.2812759,1.3337122,0.26205677,0.36876017,1.5225216,0.0,0.0,0.0,0.0,0.08891683,0.27576017,0.7532649,0.0,0.0,0.0,1.5903164,0.0,0.0,0.4186534,0.0,0.0,0.15496638,0.0,2.4039195,0.0,0.0,0.085694395,0.37682575,0.0,0.0,0.0,0.2538656,0.0,0.29846945,0.28006324,1.0810795,0.44712588,0.0,0.0,0.63079894,0.94034606,0.0,0.0,0.0,0.9768262,0.0,0.466797,0.0,0.54820096,0.0,0.0,0.45877737,0.1021231,0.7613493,0.0,0.5319574,0.0,0.0,0.0,0.0,0.0,0.9483715,0.0,1.0541031,2.3087723,0.0,3.9104538,0.16896878,0.34248343,1.158897,0.0,0.0,2.445918,1.7217327,0.0,1.7271873,0.0,0.0,0.0,0.0,0.33945477,0.5291328,0.0,0.61519855,0.0,0.0,1.3872477,0.39255562,0.0,0.0,0.0,3.3369431,0.98810494,0.0,0.0,0.0,0.1184399,0.0,0.082401626,0.0,0.0,1.7038223,0.041354027,0.0,0.0,1.1756049,1.2566289,0.0,0.0,0.0,0.0,meta/aditya_jawa_images3.jpg
0.0,0.0,1.3184242,0.0,0.12803191,1.396101,0.0,1.248013,0.0,1.5656248,0.0,0.0,0.35575557,1.8288869,0.0,1.121278,0.009890154,0.0,0.9743683,0.0,0.09568388,0.0,0.77030766,0.24903327,1.1507014,0.0,1.0471401,2.0199015,0.0,0.0,0.0,0.0,0.23035754,0.08047114,0.0,0.86860424,0.0,0.0,0.0,0.0,1.4551325,0.53849125,0.0,1.4232401,0.70039153,0.0,0.5517328,1.0585749,0.8988076,0.0,0.0,0.0,1.2899364,0.0,0.72616774,0.0,0.0,1.532594,0.0,0.0,0.20025471,0.6624369,0.58394057,0.1073332,0.0,0.0,0.0,0.0,2.0512576,0.0,0.7170907,0.0,0.53927505,0.0,0.49356672,0.1931728,1.1609819,0.0,0.0,0.0,0.66504955,0.057014845,0.0,1.2938135,2.108273,0.0,0.0,0.0,1.5454712,1.2437816,2.5043845,0.0,0.0,0.6008054,0.0,0.0,0.0,1.3073857,0.046881337,0.0,1.1128535,0.0,0.0,1.3781506,0.0,0.0,1.632559,0.0,2.0278072,0.98330307,0.0,0.0,0.0,1.5637078,0.90154773,1.3106765,0.0,0.0,0.7756862,1.2812546,0.5023418,0.0,2.0128767,0.76891184,0.0,0.0,0.0,0.0,meta/aditya_jawa_images4.jpg
0.0,2.4074411,0.0,0.0,1.2624055,0.40542966,0.0,2.353529,0.1173764,0.0,0.35121238,0.0,0.5400391,0.0,0.0,0.042163305,0.0,1.1504161,0.2842636,0.0,0.0,1.3480885,0.0,0.0,0.0,0.0,3.1304672,0.0,0.0,0.1993054,0.0,0.0,1.5676019,0.64481914,0.0,2.8757212,0.0,0.0,0.0,0.0,2.3665648,2.6790822,0.0,0.0,4.2251744,0.0,0.0,0.37086734,0.0,0.0,2.5350153,1.0791705,0.7535931,0.15594277,0.10806119,0.0,0.043574914,0.7625816,0.0,0.0,0.0,0.21151328,0.0,1.0872233,0.0,0.2767281,0.0,0.0,2.5070062,0.0,1.6295173,0.80525726,1.5540652,0.5529236,0.0016467813,3.1283824,0.0,0.0,0.0,0.0,4.0794644,0.74314994,0.96898985,0.42783472,0.05187381,0.3025443,0.5923334,0.0,2.4403102,3.3668082,0.029641822,0.0,1.720894,1.6045543,0.17260368,0.15621068,0.0,0.89279264,0.076892585,0.0,2.2894666,0.0,0.9028895,0.9534276,0.0,0.0,0.43139654,0.0,3.2517927,0.0,0.0,0.0,2.0057528,0.67209905,0.0,0.019743983,0.0,0.0,0.3086491,0.0,3.6486244,0.0,0.0,0.4489345,0.8766525,0.25043035,0.0,0.0,meta/aditya_jawa_images5.jpg
0.0,0.0,2.972362,2.061931,2.7644355,0.0,1.7472517,0.0,0.0,0.14917125,0.0,0.652068,1.1134073,0.0,2.0297155,0.79112345,0.26761466,0.9812882,0.0,0.0,0.0,0.0,0.0,0.0,0.18437323,0.0,2.5123754,0.0,0.0,0.0,0.0,0.0,3.5924363,0.0,1.8103225,0.61849356,0.625753,1.3186378,0.0,0.5184391,2.5797107,0.0,0.0,0.77690727,2.3478813,0.0,0.0,0.0,0.14152196,0.0,0.5068335,0.0,2.9896846,0.0,0.0,0.0,1.7602689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7223231,0.0,2.786215,0.3068431,0.0,1.8288635,2.1634076,0.9614614,0.0,2.79944,2.145273,0.0,2.4171321,0.0,3.4352617,1.8685632,0.5647748,0.043408874,0.0,0.0,0.8078849,0.0,0.0,1.9122384,4.313584,0.14056179,0.0,0.0,2.4996245,0.0,1.108971,0.0,0.0,0.0,0.0,0.5665007,1.6200016,0.0,1.5540665,0.6186114,3.0279117,0.0,1.037593,0.0,0.0,1.8207544,0.0,0.020179335,0.0,0.0,2.2177017,0.0,0.0,0.7962145,1.3262628,2.1194065,0.0,0.0,1.499564,0.0,0.0,0.6857304,0.931873,meta/agil_minang_images1.jpg
0.0,0.015530683,2.5047648,0.69531035,2.0190654,0.0,0.06063766,0.94206613,0.0,0.0,0.026121533,0.0,0.0,0.0,0.21387947,0.0,0.0,0.0,1.6359055,0.0,2.864405,0.35597938,0.0,0.0,0.0,0.0,2.3142755,0.0,0.991911,0.0,0.0,0.0,1.3376974,0.0,0.47509927,0.5888058,1.7538571,0.5769652,0.0,0.0,2.3322067,0.0,0.0,2.0819848,3.5104766,0.0,0.0,0.054521933,0.0,0.23108685,2.4278033,0.0,3.7930331,0.0,1.0746071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0770442,0.52046007,0.17647567,3.0269392,2.2859168,0.0,0.8518708,2.8667781,0.8198319,0.0,2.0000703,2.414326,0.75932246,1.3015176,0.0,1.1161479,0.0,1.8972743,1.5057669,0.0,0.0,0.0,1.1650008,1.3759868,0.58497393,1.463646,0.0,0.0,0.0,1.3781525,0.0,0.9663578,0.0,0.0,0.042795464,0.0,0.6949242,0.7406892,0.98988026,3.3998373,2.281797,3.7055056,0.0,1.5759436,0.9329049,1.014234,1.707306,0.0,0.0,0.6992982,0.0,1.4431785,0.5009977,0.0,0.9857981,1.478424,0.6614199,0.0,0.0,1.9657788,0.0,0.0,1.5446244,0.2972544,meta/agil_minang_images2.jpg
0.0,0.10772399,0.0,0.0,0.0,0.0,0.7095809,0.892596,0.0,0.22918655,0.0,1.0073135,2.1735973,0.0,0.0,0.0,1.7840973,0.5877666,0.0,0.10270699,0.0,0.72266936,0.0,0.91219264,0.0,0.0,0.0,0.20197491,2.8881116,1.5418032,0.0,0.0,2.3980324,0.0,1.1209087,3.4522336,0.0,1.061072,0.0,0.0,1.4682826,0.0,0.25364533,4.571086,2.4801373,0.0,0.110354856,0.22847262,0.0,0.34606254,2.9548385,2.7379391,0.0,0.0,1.3061796,0.0,0.0,1.1382701,0.0,0.0,0.0,0.1236538,1.4717726,0.0,2.944678,0.0,0.65429777,1.1833838,2.4231515,0.61315215,0.0,0.8859654,0.56719494,2.131907,1.9709138,0.0,0.843088,0.21085659,2.2078466,1.4185964,0.0,1.9517878,0.0,0.0,1.8551399,0.0,0.0,0.0,0.0,0.0,1.7212377,0.0,0.78919077,1.2861136,0.0,1.1440458,0.91008013,0.38837934,0.0,1.1335654,1.898844,0.0,0.72927576,1.8017902,1.8456919,0.0,0.0,0.9653219,0.0,3.8381088,0.8348399,0.0,1.1838912,0.84840333,0.0,0.0,1.6289806,0.0,2.8876874,3.1799786,3.6585007,0.0,1.6063837,0.0,0.0,0.0,0.7923859,0.35015863,meta/agil_minang_images3.jpg
0.0,2.8736858,1.4699886,0.0,0.0,0.0,0.7799453,0.0,0.0,0.74163544,0.0,0.9961463,0.0,0.0,0.80867606,0.0,0.6689327,0.0,0.62346107,0.0,0.0,1.1038345,0.06378372,0.0,0.83142114,0.0,0.0,0.0,1.6475306,0.0,1.5987716,0.0,2.1700327,0.0,2.871096,2.740641,0.0,0.0,0.0,0.58183515,2.89515,0.01622856,0.0,0.10186189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1189238,0.0,1.2160249,0.22896607,0.0,0.9940665,0.0,0.0,0.0,3.058825,0.0,0.0,0.0,0.0,0.4390785,1.781639,0.0,0.0,0.0,4.229354,1.0630406,0.26772985,3.2434995,0.0,4.1318398,2.037053,0.17492144,1.7752699,1.6177821,3.941649,1.0326757,0.0,1.3830082,0.0,1.2137115,0.7599996,0.98752576,2.2089276,0.84793,0.0,1.0993447,1.0317105,0.0,1.2198843,0.0,0.0,0.0,0.0,1.980879,0.0,2.4722729,2.31138,0.7792378,1.6263832,0.0,1.9375167,0.35381418,0.23392294,0.0,1.1283566,0.0,0.0,0.0,0.31440356,0.0,0.0,0.0,1.0318059,0.0,0.0,0.0,0.0,0.0,0.27981928,1.3465511,0.0,meta/agil_minang_images4.jpg
0.0,1.6981027,2.0131152,0.0,0.0,0.0,2.9247797,0.19405676,0.0,1.3392087,0.0,0.0,0.0026794914,2.318229,0.0,0.19225897,1.6929106,1.4752748,0.0,0.0,0.3039815,0.5795548,1.8181523,0.0,0.5254162,0.0,1.8581716,0.20891644,0.0,1.7608131,0.0,0.0,2.9177532,0.0,0.0,0.0,4.2239146,0.0,0.0,0.0,0.0,0.0,0.020209208,1.3515767,2.3743253,0.0,0.0,1.4346464,0.0,0.0,1.776083,0.0,0.9703947,0.0,1.0980178,2.3974104,1.2623708,0.0,0.0,0.67207,0.0,3.100427,0.0,0.70136374,0.0,0.663414,0.09422985,0.9437483,4.4085627,0.0,0.0,0.0,0.0,1.1711264,0.97890687,2.3228014,0.0,1.5317553,0.0,0.30998856,0.0,0.0,0.0,1.639049,1.0490508,0.5817608,0.72325444,0.0,1.1317455,2.983841,1.4732332,0.0,1.6444677,0.65103,0.69249815,1.1484562,0.0,0.384159,0.054062083,0.0,0.13218647,0.0,0.0,0.7929313,1.172047,0.0,0.0,0.012316043,1.4721726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1826034,0.0,0.0,1.0853045,0.0,0.5149532,0.78645986,1.4606441,0.0,0.0,3.2778428,0.0,meta/ares_sunda_images1.jpg
